Date,Open,High,Low,Close,Volume,Adj Close
2015-10-28,84.20,86.08,80.95,82.00,2167800,82.00
2015-10-27,79.88,85.00,77.50,84.91,2080900,84.91
2015-10-26,79.50,83.50,77.00,81.22,2988400,81.22
2015-10-23,77.99,81.30,77.00,80.42,3136300,80.42
2015-10-22,68.35,74.98,68.29,74.98,2157100,74.98
2015-10-21,73.12,74.70,66.50,68.16,1959800,68.16
2015-10-20,72.00,74.38,70.50,73.22,1782200,73.22
2015-10-19,73.54,73.54,70.25,71.50,2043100,71.50
2015-10-16,77.00,77.60,71.00,73.90,2340500,73.90
2015-10-15,71.05,75.96,70.12,74.85,1994900,74.85
2015-10-14,72.27,72.66,70.40,70.82,1587200,70.82
2015-10-13,69.13,73.89,68.88,72.84,2377200,72.84
2015-10-12,68.20,71.80,67.76,70.13,2927200,70.13
2015-10-09,68.39,69.72,66.68,67.45,2245900,67.45
2015-10-08,70.00,72.30,67.00,67.93,2274500,67.93
2015-10-07,68.14,68.14,68.14,68.14,000,68.14
2015-10-06,68.14,68.14,68.14,68.14,000,68.14
2015-10-05,68.14,68.14,68.14,68.14,000,68.14
2015-10-02,68.14,68.14,68.14,68.14,000,68.14
2015-10-01,68.14,68.14,68.14,68.14,000,68.14
2015-09-30,71.65,72.30,66.65,68.14,1463300,68.14
2015-09-29,68.90,72.30,68.80,71.65,1280400,71.65
2015-09-28,65.29,65.29,65.29,65.29,000,65.29
2015-09-25,69.77,70.70,64.55,65.29,1388200,65.29
2015-09-24,66.90,72.20,66.90,70.96,1869200,70.96
2015-09-23,66.96,68.90,65.61,66.60,1112200,66.60
2015-09-22,68.50,71.10,66.75,67.75,1909500,67.75
2015-09-21,62.11,69.50,62.11,69.26,2076100,69.26
2015-09-18,61.10,64.10,60.80,63.45,1132700,63.45
2015-09-17,59.50,64.62,59.50,60.33,2275800,60.33
2015-09-16,55.00,60.43,53.88,60.42,1299700,60.42
2015-09-15,53.85,56.40,53.15,54.94,1146000,54.94
2015-09-14,59.40,60.80,53.95,53.99,1568300,53.99
2015-09-11,59.30,60.48,58.50,59.94,1100000,59.94
2015-09-10,56.95,60.58,56.50,59.10,1986200,59.10
2015-09-09,56.03,58.80,56.03,57.79,1937100,57.79
2015-09-08,51.00,55.98,50.07,55.76,1212600,55.76
2015-09-07,51.00,53.00,50.46,51.43,879000,51.43
2015-09-04,50.00,50.00,50.00,50.00,000,50.00
2015-09-03,50.00,50.00,50.00,50.00,000,50.00
2015-09-02,49.15,53.51,47.08,50.00,1483300,50.00
2015-09-01,53.50,53.68,49.34,49.76,1736400,49.76
2015-08-31,55.80,59.90,54.79,54.80,2107800,54.80
2015-08-28,53.70,57.55,53.70,56.70,2210400,56.70
2015-08-27,51.82,54.00,49.35,52.50,1345400,52.50
2015-08-26,50.11,53.01,47.90,50.60,1795700,50.60
2015-08-25,51.70,54.50,47.90,48.28,1771500,48.28
2015-08-24,56.00,56.00,52.52,52.52,2330400,52.52
2015-08-21,59.50,61.88,58.01,58.36,1232900,58.36
2015-08-20,60.98,62.35,59.00,59.88,1239700,59.88
2015-08-19,61.37,63.40,55.85,61.79,2664200,61.79
2015-08-18,66.66,67.98,60.18,61.37,1820000,61.37
2015-08-17,69.30,69.30,65.01,66.58,1370000,66.58
2015-08-14,71.36,71.99,68.89,69.37,1698000,69.37
2015-08-13,69.52,70.99,68.20,70.63,1465500,70.63
2015-08-12,71.51,73.96,70.21,70.60,1312700,70.60
2015-08-11,74.20,75.18,72.08,72.81,1890900,72.81
2015-08-10,71.95,75.43,70.00,75.01,2158900,75.01
2015-08-07,68.00,71.98,67.00,70.97,2163100,70.97
2015-08-06,64.70,69.20,64.00,67.34,1783100,67.34
2015-08-05,65.80,69.69,64.88,67.43,2512600,67.43
2015-08-04,63.11,66.50,62.00,66.42,2290900,66.42
2015-08-03,66.49,68.00,61.70,62.46,2922700,62.46
2015-07-31,68.15,73.50,67.02,68.70,1972000,68.70
2015-07-30,70.01,74.00,68.20,71.00,2477400,71.00
2015-07-29,68.00,72.00,64.12,71.99,2253400,71.99
2015-07-28,66.00,72.48,63.55,66.30,2071300,66.30
2015-07-27,74.20,79.58,69.80,70.00,2919400,70.00
2015-07-24,82.12,85.00,74.21,77.30,3940000,77.30
2015-07-23,76.50,84.00,75.32,82.46,2851200,82.46
2015-07-22,74.00,80.00,73.45,77.04,2913600,77.04
2015-07-21,73.50,75.89,72.50,74.68,2711300,74.68
2015-07-20,69.08,76.69,69.01,75.85,4009800,75.85
2015-07-17,66.00,72.16,65.00,71.08,3624600,71.08
2015-07-16,57.88,68.30,57.88,65.68,2765500,65.68
2015-07-15,70.00,70.00,63.00,63.49,5937400,63.49
2015-07-14,63.64,63.64,63.64,63.64,35000,63.64
2015-07-13,57.85,57.85,57.85,57.85,72200,57.85
2015-07-10,52.59,52.59,52.59,52.59,000,52.59
2015-07-09,52.59,52.59,52.59,52.59,000,52.59
2015-07-08,52.59,52.59,52.59,52.59,000,52.59
2015-07-07,55.55,57.40,52.59,52.59,2195500,52.59
2015-07-06,63.06,63.06,53.01,58.43,4163000,58.43
2015-07-03,57.00,62.88,52.20,57.33,4203500,57.33
2015-07-02,61.00,66.68,57.98,58.00,4550100,58.00
2015-07-01,69.00,75.00,64.42,64.42,4385500,64.42
2015-06-30,67.00,73.80,64.33,71.58,4338600,71.58
2015-06-29,76.00,79.31,71.48,71.48,2680400,71.48
2015-06-26,80.60,81.99,79.42,79.42,2997700,79.42
2015-06-25,95.00,95.00,88.24,88.24,6119900,88.24
2015-06-24,104.31,104.31,92.00,98.04,8315100,98.04
2015-06-23,90.50,94.83,87.00,94.83,2553200,94.83
2015-06-22,86.21,86.21,86.21,86.21,000,86.21
2015-06-19,83.80,101.00,83.80,86.21,8059400,86.21
2015-06-18,83.49,92.03,82.50,92.03,7680600,92.03
2015-06-17,83.73,88.40,83.66,83.66,6663700,83.66
2015-06-16,92.95,92.95,83.01,92.95,11986500,92.95
2015-06-15,84.50,84.50,84.50,84.50,98400,84.50
2015-06-12,76.82,76.82,76.82,76.82,39200,76.82
2015-06-11,69.84,69.84,69.84,69.84,19900,69.84
2015-06-10,63.49,63.49,63.49,63.49,43700,63.49
2015-06-09,57.72,57.72,57.72,57.72,22100,57.72
2015-06-08,52.47,52.47,52.47,52.47,19300,52.47
2015-06-05,47.70,47.70,47.70,47.70,7000,47.70
2015-06-04,43.36,43.36,43.36,43.36,12400,43.36
2015-06-03,39.42,39.42,39.42,39.42,4500,39.42
2015-06-02,35.84,35.84,35.84,35.84,5100,35.84
2015-06-01,32.58,32.58,32.58,32.58,2500,32.58
2015-05-29,29.62,29.62,29.62,29.62,5500,29.62
2015-05-28,26.93,26.93,26.93,26.93,1900,26.93
2015-05-27,24.48,24.48,24.48,24.48,10500,24.48
