Date,Open,High,Low,Close,Volume,Adj Close
2015-10-28,20.00,20.48,19.15,19.26,47758300,19.26
2015-10-27,19.55,20.19,18.51,20.17,47139100,20.17
2015-10-26,19.85,20.17,19.30,19.76,40936100,19.76
2015-10-23,19.00,19.79,18.76,19.59,44837200,19.59
2015-10-22,18.30,19.06,18.02,18.97,40599500,18.97
2015-10-21,20.14,20.63,18.21,18.32,65517800,18.32
2015-10-20,20.07,20.29,19.57,20.23,38573900,20.23
2015-10-19,19.90,20.58,19.52,20.04,50296700,20.04
2015-10-16,19.90,20.25,19.43,19.85,54337400,19.85
2015-10-15,18.66,19.71,18.66,19.69,56310200,19.69
2015-10-14,18.88,19.53,18.61,18.74,47014200,18.74
2015-10-13,18.65,19.27,18.50,18.95,54396700,18.95
2015-10-12,17.65,19.26,17.55,18.92,59239600,18.92
2015-10-09,17.18,17.88,17.08,17.62,36155800,17.62
2015-10-08,17.33,17.48,16.91,17.23,30847100,17.23
2015-10-07,16.55,16.55,16.55,16.55,000,16.55
2015-10-06,16.55,16.55,16.55,16.55,000,16.55
2015-10-05,16.55,16.55,16.55,16.55,000,16.55
2015-10-02,16.55,16.55,16.55,16.55,000,16.55
2015-10-01,16.55,16.55,16.55,16.55,000,16.55
2015-09-30,16.31,16.83,16.16,16.55,21414500,16.55
2015-09-29,16.35,16.53,15.97,16.25,19193700,16.25
2015-09-28,16.24,16.24,16.24,16.24,000,16.24
2015-09-25,17.20,17.20,15.95,16.24,33013300,16.24
2015-09-24,16.86,17.67,16.86,17.24,34977700,17.24
2015-09-23,16.80,17.11,16.60,16.81,32999000,16.81
2015-09-22,17.34,17.57,16.88,17.26,39231400,17.26
2015-09-21,15.98,17.50,15.80,17.33,44022500,17.33
2015-09-18,15.90,16.27,15.64,16.17,27978500,16.17
2015-09-17,16.00,16.99,15.72,15.85,47391900,15.85
2015-09-16,14.98,16.20,14.95,16.20,38140800,16.20
2015-09-15,15.80,15.97,14.64,14.73,34331400,14.73
2015-09-14,18.10,18.33,16.27,16.27,38800400,16.27
2015-09-11,17.86,18.31,17.48,18.08,28192400,18.08
2015-09-10,18.20,18.48,17.77,17.89,34193200,17.89
2015-09-09,18.14,18.85,17.72,18.79,55426500,18.79
2015-09-08,16.08,17.72,15.80,17.72,46340700,17.72
2015-09-07,16.11,16.67,15.88,16.11,29453400,16.11
2015-09-04,15.48,15.48,15.48,15.48,000,15.48
2015-09-03,15.48,15.48,15.48,15.48,000,15.48
2015-09-02,15.21,17.10,15.20,15.48,33311500,15.48
2015-09-01,18.00,18.03,16.42,16.42,34997700,16.42
2015-08-31,18.79,18.94,18.16,18.24,35198100,18.24
2015-08-28,18.07,19.48,17.70,19.19,50886400,19.19
2015-08-27,17.31,17.98,16.38,17.72,40200500,17.72
2015-08-26,17.99,18.79,16.12,16.77,50063600,16.77
2015-08-25,17.66,19.17,17.66,17.66,38960700,17.66
2015-08-24,20.50,20.50,19.62,19.62,31595000,19.62
2015-08-21,23.10,23.80,21.66,21.80,42882300,21.80
2015-08-20,24.81,24.99,23.39,23.52,44849900,23.52
2015-08-19,24.00,25.98,22.90,25.42,66539300,25.42
2015-08-18,28.40,28.80,25.33,25.33,91509000,25.33
2015-08-17,28.73,29.14,27.75,28.14,96343700,28.14
2015-08-14,26.30,28.73,25.91,28.73,134514300,28.73
2015-08-13,25.60,26.15,24.91,26.12,44388500,26.12
2015-08-12,26.30,26.80,25.60,25.73,47721900,25.73
2015-08-11,27.00,27.43,26.70,26.86,67190500,26.86
2015-08-10,26.19,27.50,25.83,27.13,72707400,27.13
2015-08-07,25.40,26.28,25.31,25.86,48655100,25.86
2015-08-06,25.30,25.92,25.00,25.08,44543900,25.08
2015-08-05,26.50,26.93,25.58,26.07,75443100,26.07
2015-08-04,25.11,27.10,24.51,26.95,78391100,26.95
2015-08-03,25.00,26.15,23.87,24.78,58976000,24.78
2015-07-31,24.51,26.55,24.27,25.68,75603000,25.68
2015-07-30,25.32,26.87,24.78,25.02,88848100,25.02
2015-07-29,24.00,25.34,22.73,25.34,71649700,25.34
2015-07-28,23.23,25.33,22.62,23.04,73245900,23.04
2015-07-27,27.00,28.82,25.13,25.13,93316700,25.13
2015-07-24,28.77,29.78,27.20,27.92,141127900,27.92
2015-07-23,25.78,28.39,25.55,28.39,115343600,28.39
2015-07-22,26.80,27.28,24.98,25.81,112484600,25.81
2015-07-21,23.25,26.28,23.00,26.28,95480800,26.28
2015-07-20,23.80,24.86,23.20,23.89,62620000,23.89
2015-07-17,22.17,24.19,22.08,23.79,58394700,23.79
2015-07-16,20.51,23.48,20.36,22.03,64676100,22.03
2015-07-15,24.00,24.30,22.55,22.55,54399000,22.55
2015-07-14,25.28,26.79,24.50,25.06,125230600,25.06
2015-07-13,23.98,24.43,22.88,24.43,75227300,24.43
2015-07-10,20.10,22.21,20.00,22.21,59705900,22.21
2015-07-09,16.52,20.19,16.52,20.19,89984600,20.19
2015-07-08,18.35,18.35,18.35,18.35,4854900,18.35
2015-07-07,21.01,21.97,20.39,20.39,50061600,20.39
2015-07-06,22.66,22.66,21.00,22.66,107511700,22.66
2015-07-03,21.35,23.14,20.11,20.60,56839200,20.60
2015-07-02,24.57,24.98,22.15,22.18,48772200,22.18
2015-07-01,26.50,28.00,24.56,24.57,69272600,24.57
2015-06-30,25.15,27.58,23.14,27.29,75482100,27.29
2015-06-29,29.27,29.28,25.71,25.71,53405500,25.71
2015-06-26,30.91,30.98,28.57,28.57,44876100,28.57
2015-06-25,34.10,34.10,31.18,31.74,45045700,31.74
2015-06-24,34.40,34.65,33.00,34.11,57878400,34.11
2015-06-23,32.61,34.02,31.00,33.82,54508200,33.82
2015-06-22,32.14,32.14,32.14,32.14,000,32.14
2015-06-19,34.30,34.83,31.96,32.14,53213200,32.14
2015-06-18,38.89,39.86,35.33,35.51,52257800,35.51
2015-06-17,39.30,39.98,37.55,39.24,50681000,39.24
2015-06-16,38.70,41.15,37.50,39.59,66793700,39.59
2015-06-15,43.15,43.15,39.90,39.90,86288600,39.90
2015-06-12,47.26,48.22,44.00,44.33,94039200,44.33
2015-06-11,45.00,47.80,44.65,47.26,89435900,47.26
2015-06-10,43.10,47.00,42.78,45.92,86471700,45.92
2015-06-09,42.99,44.90,42.60,44.08,74626200,44.08
2015-06-08,46.05,46.35,42.58,43.03,114348700,43.03
2015-06-05,49.66,50.48,46.00,47.05,107992500,47.05
2015-06-04,51.12,52.40,48.22,48.80,105645200,48.80
2015-06-03,51.18,55.48,49.11,53.58,117017700,53.58
2015-06-02,56.00,57.95,53.28,53.28,151204600,53.28
2015-06-01,68.24,70.60,58.76,59.20,230191800,59.20
2015-05-29,53.52,64.20,52.53,64.20,250497200,64.20
2015-05-28,58.40,58.40,57.00,58.36,111217800,58.36
2015-05-27,53.09,53.09,53.09,53.09,6557200,53.09
2015-05-26,48.26,48.26,46.64,48.26,59564700,48.26
2015-05-25,43.87,43.87,43.87,43.87,2008800,43.87
2015-05-22,39.88,39.88,39.88,39.88,4638400,39.88
2015-05-21,36.25,36.25,36.25,36.25,22557700,36.25
2015-05-20,32.95,32.95,32.95,32.95,4172900,32.95
2015-05-19,29.95,29.95,29.95,29.95,1898800,29.95
2015-05-18,27.23,27.23,27.23,27.23,3448000,27.23
2015-05-15,24.75,24.75,24.75,24.75,1680800,24.75
2015-05-14,22.50,22.50,22.50,22.50,982800,22.50
2015-05-13,20.45,20.45,20.45,20.45,1738900,20.45
2015-05-12,18.59,18.59,18.59,18.59,626800,18.59
2015-05-11,16.90,16.90,16.90,16.90,705300,16.90
2015-05-08,15.36,15.36,15.36,15.36,1127800,15.36
2015-05-07,13.96,13.96,13.96,13.96,1513300,13.96
2015-05-06,12.69,12.69,12.69,12.69,619500,12.69
2015-05-05,11.54,11.54,11.54,11.54,415100,11.54
2015-05-04,10.49,10.49,10.49,10.49,139000,10.49
2015-05-01,9.54,9.54,9.54,9.54,000,9.54
2015-04-30,9.54,9.54,9.54,9.54,90300,9.54
2015-04-29,8.67,8.67,8.67,8.67,93900,8.67
2015-04-28,6.56,7.88,6.56,7.88,251700,7.88
