Date,Open,High,Low,Close,Volume,Adj Close
2015-10-28,83.88,84.97,81.53,83.03,1418400,83.03
2015-10-27,81.88,85.68,80.21,84.23,1295800,84.23
2015-10-26,79.21,83.39,78.51,83.12,1724600,83.12
2015-10-23,77.58,79.66,77.00,79.17,891300,79.17
2015-10-22,73.30,76.98,73.30,76.64,913000,76.64
2015-10-21,79.21,80.79,73.50,74.07,1128200,74.07
2015-10-20,77.60,80.97,77.12,79.53,1051800,79.53
2015-10-19,78.56,78.58,75.40,77.75,931500,77.75
2015-10-16,78.00,78.88,75.20,78.64,1364800,78.64
2015-10-15,74.00,77.48,73.35,77.25,2141100,77.25
2015-10-14,74.00,74.99,73.10,73.92,613700,73.92
2015-10-13,72.70,75.00,72.30,74.44,682700,74.44
2015-10-12,71.00,74.90,69.61,73.21,1073000,73.21
2015-10-09,69.00,70.39,68.46,70.12,611600,70.12
2015-10-08,68.09,69.79,67.48,69.21,607800,69.21
2015-10-07,66.21,66.21,66.21,66.21,000,66.21
2015-10-06,66.21,66.21,66.21,66.21,000,66.21
2015-10-05,66.21,66.21,66.21,66.21,000,66.21
2015-10-02,66.21,66.21,66.21,66.21,000,66.21
2015-10-01,66.21,66.21,66.21,66.21,000,66.21
2015-09-30,66.46,67.44,65.48,66.21,350900,66.21
2015-09-29,66.50,68.20,65.74,66.19,662800,66.19
2015-09-28,64.17,64.17,64.17,64.17,000,64.17
2015-09-25,67.40,70.00,63.55,64.17,671900,64.17
2015-09-24,67.51,70.48,67.07,68.01,781600,68.01
2015-09-23,64.87,68.27,64.60,67.31,682100,67.31
2015-09-22,65.98,67.37,65.45,66.30,695100,66.30
2015-09-21,61.00,66.13,61.00,65.81,713800,65.81
2015-09-18,61.51,62.59,61.02,62.11,402300,62.11
2015-09-17,63.02,65.39,60.92,61.00,791000,61.00
2015-09-16,58.50,63.88,58.48,63.88,725400,63.88
2015-09-15,63.99,63.99,58.07,58.07,761400,58.07
2015-09-14,72.00,72.90,64.52,64.52,855300,64.52
2015-09-11,71.88,73.18,70.38,71.69,1032000,71.69
2015-09-10,78.09,78.09,72.51,72.60,1006200,72.60
2015-09-09,75.80,79.50,75.20,79.20,973600,79.20
2015-09-08,71.08,76.35,69.60,75.99,743600,75.99
2015-09-07,75.50,79.66,71.11,72.27,991000,72.27
2015-09-04,77.34,77.34,77.34,77.34,000,77.34
2015-09-03,77.34,77.34,77.34,77.34,000,77.34
2015-09-02,74.60,80.70,74.60,77.34,2096400,77.34
2015-09-01,83.17,89.98,80.00,82.89,2129400,82.89
2015-08-31,85.85,86.20,81.80,85.66,1599000,85.66
2015-08-28,87.18,88.88,83.20,87.84,2259500,87.84
2015-08-27,76.84,84.25,76.84,84.25,1665400,84.25
2015-08-26,74.09,77.70,69.50,76.59,1128000,76.59
2015-08-25,70.16,73.01,68.46,72.72,1144700,72.72
2015-08-24,77.43,80.00,74.12,76.07,1254300,76.07
2015-08-21,80.22,82.90,77.01,82.36,882900,82.36
2015-08-20,83.01,83.88,79.20,82.90,764600,82.90
2015-08-19,79.33,84.79,75.33,83.98,1466600,83.98
2015-08-18,86.00,86.95,77.75,80.99,1515800,80.99
2015-08-17,88.95,89.23,85.65,86.39,1419900,86.39
2015-08-14,89.01,92.00,87.58,89.92,2147900,89.92
2015-08-13,85.20,88.00,84.00,87.36,1464900,87.36
2015-08-12,84.10,88.80,83.83,86.48,2596900,86.48
2015-08-11,83.92,86.49,83.85,84.80,2186000,84.80
2015-08-10,81.89,86.88,80.40,85.41,2310500,85.41
2015-08-07,75.00,82.88,75.00,81.86,3147300,81.86
